christian,mccaffrey,running back,3117251
mike,evans,wide receiver,16737
kyler,murray,quarterback,3917315
courtland,sutton,wide receiver,3128429
zach,ertz,tight end,15835
drake,london,wide receiver,4426502
chris,olave,wide receiver,4361370
michael,carter,running back,4240657
jamaal,williams,running back,2980453
brett,maher,place kicker,16486
tua,tagovailoa,quarterback,4241479
robert,tonyan,tight end,2975674
chuba,hubbard,running back,4241416
mecole,hardman,wide receiver,4035004
marquise,goodwin,wide receiver,15839
